Status,Revision,Reference,Exception,Deadline,Priority,Robot,Postpone,Started,Ended,Transaction Execution Time,Retry No.,Specific Data,Key,Reviewer Name,Exception Reason,Output
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:49:36 PM,6/9/2020 7:49:40 PM,4,0,"{""DynamicProperties"":{""CashIn"":911.0,""OnUsCheck"":75.0,""NotOnUsCheck"":60.0,""TotalDeposit"":""""}}",a154a0ce-dd8d-46a0-87f5-82ab9c5dd25f,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:49:41 PM,6/9/2020 7:49:44 PM,3,0,"{""DynamicProperties"":{""CashIn"":456.0,""OnUsCheck"":508.0,""NotOnUsCheck"":40.0,""TotalDeposit"":""""}}",43a681b1-f62f-4f5e-a84d-401dd46e7ab6,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:49:45 PM,6/9/2020 7:49:48 PM,3,0,"{""DynamicProperties"":{""CashIn"":78.0,""OnUsCheck"":96.0,""NotOnUsCheck"":30.0,""TotalDeposit"":""""}}",79c28537-b8cf-42f4-adbb-f0bf77010fe6,,,"{""DynamicProperties"":{}}"
Failed,None,,BusinessException,,Normal,SHERLOCK,,6/9/2020 7:49:49 PM,6/9/2020 7:49:50 PM,0,0,"{""DynamicProperties"":{""CashIn"":""gdfs"",""OnUsCheck"":345.0,""NotOnUsCheck"":550.0,""TotalDeposit"":""""}}",2fc2b328-5d85-4497-85b0-47de42fcad7c,,Supplied CashIn value is not numeric,
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:49:50 PM,6/9/2020 7:49:53 PM,3,0,"{""DynamicProperties"":{""CashIn"":200.0,""OnUsCheck"":995.0,""NotOnUsCheck"":380.0,""TotalDeposit"":""""}}",d060c9ef-9279-40c3-bcb0-1129c48e1211,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:49:54 PM,6/9/2020 7:49:58 PM,3,0,"{""DynamicProperties"":{""CashIn"":506.0,""OnUsCheck"":756.0,""NotOnUsCheck"":56.0,""TotalDeposit"":""""}}",6b255021-5189-455c-b423-6f5bf855eee2,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:49:59 PM,6/9/2020 7:50:02 PM,3,0,"{""DynamicProperties"":{""CashIn"":820.0,""OnUsCheck"":209.0,""NotOnUsCheck"":73.0,""TotalDeposit"":""""}}",1210e0c7-9395-4e9e-b951-264eeb460b38,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:50:03 PM,6/9/2020 7:50:06 PM,3,0,"{""DynamicProperties"":{""CashIn"":109.0,""OnUsCheck"":361.0,""NotOnUsCheck"":933.0,""TotalDeposit"":""""}}",4b15b160-61d3-4037-93ad-4b3589ad6eb1,,,"{""DynamicProperties"":{}}"
Failed,None,,BusinessException,,Normal,SHERLOCK,,6/9/2020 7:50:07 PM,6/9/2020 7:50:08 PM,1,0,"{""DynamicProperties"":{""CashIn"":634.0,""OnUsCheck"":""kj&*"",""NotOnUsCheck"":75.0,""TotalDeposit"":""""}}",b8b76b20-8efa-4b46-a036-1457e556fe36,,Supplied OnUsCheck value is not numeric,
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:50:09 PM,6/9/2020 7:50:12 PM,3,0,"{""DynamicProperties"":{""CashIn"":306.0,""OnUsCheck"":485.0,""NotOnUsCheck"":845.0,""TotalDeposit"":""""}}",dd281e26-2d26-4db3-9b94-bedb748393ea,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:50:13 PM,6/9/2020 7:50:16 PM,3,0,"{""DynamicProperties"":{""CashIn"":205.0,""OnUsCheck"":840.0,""NotOnUsCheck"":104.0,""TotalDeposit"":""""}}",3b86c0a6-cdbd-4fc3-8e7a-0ad95ae1ef6e,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:50:17 PM,6/9/2020 7:50:20 PM,3,0,"{""DynamicProperties"":{""CashIn"":295.0,""OnUsCheck"":308.0,""NotOnUsCheck"":730.0,""TotalDeposit"":""""}}",ffd0f631-cb1f-4b01-b1e4-bb22024bf728,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:50:21 PM,6/9/2020 7:50:24 PM,3,0,"{""DynamicProperties"":{""CashIn"":204.0,""OnUsCheck"":208.0,""NotOnUsCheck"":495.0,""TotalDeposit"":""""}}",07f97cfd-025a-4e34-ba05-171a6f3dc9d3,,,"{""DynamicProperties"":{}}"
Failed,None,,BusinessException,,Normal,SHERLOCK,,6/9/2020 7:50:24 PM,6/9/2020 7:50:27 PM,2,0,"{""DynamicProperties"":{""CashIn"":105.0,""OnUsCheck"":199.0,""NotOnUsCheck"":"")$@#$"",""TotalDeposit"":""""}}",839e1250-f3fb-4b22-838d-4be5002c9b1c,,Supplied NotOnUsCheck value is not numeric,
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:50:28 PM,6/9/2020 7:50:31 PM,3,0,"{""DynamicProperties"":{""CashIn"":98.0,""OnUsCheck"":204.0,""NotOnUsCheck"":756.0,""TotalDeposit"":""""}}",28ad7852-e997-445e-97a4-612946a75580,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:50:32 PM,6/9/2020 7:50:35 PM,3,0,"{""DynamicProperties"":{""CashIn"":578.0,""OnUsCheck"":739.0,""NotOnUsCheck"":84.0,""TotalDeposit"":""""}}",3f6a4e42-ec2e-4c34-88ba-ab5cc0f9c88d,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:50:36 PM,6/9/2020 7:50:39 PM,3,0,"{""DynamicProperties"":{""CashIn"":70.0,""OnUsCheck"":509.0,""NotOnUsCheck"":920.0,""TotalDeposit"":""""}}",d480b9c3-4a9f-420f-9ffe-31d755317511,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:50:40 PM,6/9/2020 7:50:43 PM,3,0,"{""DynamicProperties"":{""CashIn"":76.0,""OnUsCheck"":420.0,""NotOnUsCheck"":305.0,""TotalDeposit"":""""}}",c76a60f3-1ad0-4821-9c58-9198195e850d,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:50:44 PM,6/9/2020 7:50:47 PM,3,0,"{""DynamicProperties"":{""CashIn"":35.0,""OnUsCheck"":40.0,""NotOnUsCheck"":612.0,""TotalDeposit"":""""}}",56ec93e9-3b3d-4a1e-a6fd-99dbd460cd26,,,"{""DynamicProperties"":{}}"
Successful,None,,,,Normal,SHERLOCK,,6/9/2020 7:50:48 PM,6/9/2020 7:50:51 PM,3,0,"{""DynamicProperties"":{""CashIn"":84.0,""OnUsCheck"":206.0,""NotOnUsCheck"":39.0,""TotalDeposit"":""""}}",6db20b42-1eec-4cd5-b0bd-4a99167cdaeb,,,"{""DynamicProperties"":{}}"
